person_id,date,lat,lon,rhum,uwnd_ms,vwnd_ms,wind_speed,air_2m,dpt_2m,pres_sfc,apcp,prate,crain,csnow,cfrzr,cicep,weasd,snod,snowc,dswrf,uswrf_sfc,dlwrf,ulwrf_sfc,gflux,lhtfl,shtfl,hpbl,tcdc,pr_wtr,cape,cin,veg,albedo,evap,vis
91205,2022-07-17,33.4738,-112.0742,18.4,-1.0,0.4,1.077,35.7017,17.2052,96271.5426,1.9078,0.0001,0,0,0,0,0.0,0.0,0.0,328.7512,36.995,351.8863,455.3979,37.3765,26.8251,252.2136,2332.5454,18.8565,17.5764,1524.1726,-195.1215,14.0433,23.2721,4.5941,21275.1574
91205,2022-07-18,33.4738,-112.0742,25.0,0.5,-0.5,0.707,35.0556,19.0284,95297.3228,4.1885,0.0001,0,0,0,0,0.0,0.0,0.0,308.2653,33.1046,397.0335,445.1132,-2.3648,20.9364,257.8023,2778.5304,30.9889,19.3913,1862.1941,-146.9841,22.3278,27.1058,3.5431,21111.2335
91205,2022-07-19,33.4738,-112.0742,33.8,2.5,-1.7,3.023,31.47,6.9869,95439.7682,5.7452,0.0002,1,0,0,0,0.0,0.0,0.0,299.5433,50.306,384.617,469.3816,37.8584,44.3387,172.7943,3206.2167,51.4562,31.9864,1884.7949,-70.2132,10.1077,20.7267,2.7717,17373.1973
91205,2022-07-20,33.4738,-112.0742,30.5,1.75,-1.25,2.151,35.0655,13.0458,96410.5958,4.7482,0.0002,1,0,0,0,0.0,0.0,0.0,291.0335,31.8087,360.3004,470.2741,14.7656,10.3294,203.3441,3512.1625,33.7616,24.7494,25.5174,-114.6588,8.1529,21.5592,4.1897,19685.7037
91205,2022-07-21,33.4738,-112.0742,21.7,-0.25,-0.05,0.255,29.4417,8.4624,95240.1044,3.2655,0.0001,0,0,0,0,0.0,0.0,0.0,324.0742,38.4988,338.7755,446.1094,-9.8793,10.3449,236.8081,2758.1136,31.1294,21.9246,886.7807,-195.0077,17.0402,18.0951,3.6335,20692.423
91205,2022-07-22,33.4738,-112.0742,20.2,-0.6,0.16,0.621,29.6201,2.57,95037.5878,2.341,0.0001,0,0,0,0,0.0,0.0,0.0,314.0259,44.8293,383.7023,441.7111,4.5245,37.9008,242.6728,2265.0979,23.3068,19.9972,2026.5808,-208.2431,24.3546,24.9309,4.5232,21562.9776
91206,2022-07-15,32.2226,-110.9747,20.6,-0.5,0.1,0.51,33.3381,15.3404,96316.4965,3.7571,0.0001,0,0,0,0,0.0,0.0,0.0,311.5385,46.0462,380.3378,441.6111,-6.4354,42.5632,273.8344,3264.1525,21.1048,19.734,1723.3277,-164.6763,9.1959,24.1031,2.5064,21083.236
91206,2022-07-16,32.2226,-110.9747,19.5,-0.75,0.25,0.791,29.5628,16.6256,96130.625,3.499,0.0,0,0,0,0,0.0,0.0,0.0,329.244,36.4034,384.9187,437.4446,14.5876,46.6442,240.1534,3338.6062,25.6673,19.0469,1898.0084,-157.9058,22.8547,21.7741,4.8086,22520.675
91206,2022-07-17,32.2226,-110.9747,18.4,-1.0,0.4,1.077,28.9816,13.6338,95003.4434,2.8742,0.0,0,0,0,0,0.0,0.0,0.0,325.0843,47.9997,332.1604,467.4061,33.4792,54.0455,249.2098,2004.1033,23.6761,19.246,937.5207,-220.4306,16.3278,25.8725,6.1219,21829.1419
91206,2022-07-18,32.2226,-110.9747,25.0,0.5,-0.5,0.707,29.8877,4.7213,95118.5711,4.8959,0.0001,0,0,0,0,0.0,0.0,0.0,317.3269,37.7794,351.2214,475.571,3.9606,37.6768,218.4657,2932.4634,26.7353,19.0469,10.1209,-183.7833,15.9707,24.7883,2.2584,19302.7686
91206,2022-07-19,32.2226,-110.9747,33.8,2.5,-1.7,3.023,30.0643,4.7347,96030.3402,7.2383,0.0002,1,0,0,0,0.0,0.0,0.0,288.3957,48.8914,383.0417,473.7017,36.0908,14.8914,211.0194,2757.7633,40.8705,27.8425,2175.839,-69.1627,21.8413,18.1123,3.1442,18259.3109
91206,2022-07-20,32.2226,-110.9747,30.5,1.75,-1.25,2.151,34.7396,14.3761,95720.3774,4.2089,0.0001,1,0,0,0,0.0,0.0,0.0,296.0457,34.1885,368.2196,475.02,15.4321,32.4872,196.406,1551.5704,41.5018,23.4252,1145.3421,-83.9363,20.5372,25.4664,6.337,17970.6327
91206,2022-07-21,32.2226,-110.9747,21.7,-0.25,-0.05,0.255,32.8343,17.8562,95492.8559,3.2301,0.0001,0,0,0,0,0.0,0.0,0.0,313.114,41.1843,399.7488,451.4273,17.2589,10.6579,239.1719,2854.5146,24.0582,16.1875,1383.2819,-186.7824,21.8339,21.7842,6.8967,21818.1156
91206,2022-07-22,32.2226,-110.9747,20.2,-0.6,0.16,0.621,33.3334,5.1132,95930.6899,2.6323,0.0001,0,0,0,0,0.0,0.0,0.0,315.0225,39.737,397.745,447.0919,7.3162,32.7436,285.8703,2078.0748,17.3933,18.8061,1980.5431,-209.4454,14.098,24.7952,4.8042,22053.7228
